Date & Time,use [kW],gen [kW],ElectricRange [kW],Dryer [kW],GarageMudroomLights [kW],DiningRoomOutlets [kW],MudroomOutlets [kW],MasterBathOutlets [kW],GarageOutlets [kW],BasementOutdoorOutlets [kW]
2015-01-01 00:00:00,0.0,0.0,4.7222e-05,0.000147778,0.001158889,0.0,0.0,0.0,0.0,0.0
2015-01-01 00:30:00,0.0,0.0,5.7778e-05,0.000179444,0.001222778,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:00:00,0.0,0.0,7.3333e-05,0.00022,0.001281111,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:30:00,0.0,0.0,0.000170556,0.000423889,0.001525,0.0,0.0,0.0,0.0,0.0
2015-01-01 02:00:00,0.0,0.0,0.000182778,0.000447222,0.001549444,0.0,0.0,0.0,0.0,0.0
2015-01-01 02:30:00,0.0,0.0,0.000146111,0.000386667,0.00149,0.0,0.0,0.0,0.0,0.0
2015-01-01 03:00:00,0.0,0.0,0.000182778,0.000451667,0.001544444,0.0,0.0,0.0,0.0,0.0
2015-01-01 03:30:00,0.0,0.0,0.000161111,0.000412778,0.001512222,0.0,0.0,0.0,0.0,0.0
2015-01-01 04:00:00,0.0,0.0,0.000156111,0.000408889,0.001509444,0.0,0.0,0.0,0.0,0.0
2015-01-01 04:30:00,0.0,0.0,0.000145556,0.000378333,0.001465,0.0,0.0,0.0,0.0,0.0
2015-01-01 05:00:00,0.0,0.0,0.000106667,0.000284444,0.001347778,0.0,0.0,0.0,0.0,0.0
2015-01-01 05:30:00,0.0,0.0,5.8333e-05,0.000184444,0.001236111,0.0,0.0,0.0,0.0,0.0
2015-01-01 06:00:00,0.0,0.0,5.3889e-05,0.000173333,0.001219444,0.0,0.0,0.0,0.0,0.0
2015-01-01 06:30:00,0.0,0.0,4.7778e-05,0.000147778,0.00117,0.0,0.0,0.0,0.0,0.0
2015-01-01 07:00:00,0.0,0.0,6e-05,0.000195556,0.001246111,0.0,0.0,0.0,0.0,0.0
2015-01-01 07:30:00,0.0,0.0,4.1111e-05,0.000127222,0.00114,0.0,0.0,0.0,0.0,0.0
2015-01-01 08:00:00,0.0,0.0,6.2778e-05,0.000202222,0.001247778,0.0,0.0,0.0,0.0,0.0
2015-01-01 08:30:00,0.0,0.0,5e-05,0.000158889,0.001191667,0.0,0.0,0.0,0.0,0.0
2015-01-01 09:00:00,0.0,0.0,7.6111e-05,0.000213889,0.001258889,0.0,0.0,0.0,0.0,0.0
2015-01-01 09:30:00,0.0,0.0,7.0556e-05,0.000222778,0.001270556,0.0,0.0,0.0,0.0,0.0
2015-01-01 10:00:00,0.0,0.0,5.9444e-05,0.000183333,0.001202222,0.0,0.0,0.0,0.0,0.0
2015-01-01 10:30:00,0.0,0.0,7.5556e-05,0.000237222,0.001285556,0.0,0.0,0.0,0.0,0.0
