Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1623249430.090768,172.10.0.2:55466,,,15,24653
1623249430.106345,172.10.0.2:55466,,,15,28997
1623249430.124028,172.10.0.2:55466,,,15,28997
1623249430.139765,172.10.0.2:55466,,,15,28997
1623249430.157258,172.10.0.2:55466,,,20,43477
1623249430.172755,172.10.0.2:55466,,,20,43477
1623249430.190636,172.10.0.2:55466,,,20,43477
1623249430.206382,172.10.0.2:55466,,,27,63749
1623249430.224004,172.10.0.2:55466,,,27,63749
1623249430.239876,172.10.0.2:55466,,,27,63749
1623249430.257323,172.10.0.2:55466,,,27,63749
1623249430.273091,172.10.0.2:55466,,,27,63749
1623249430.290059,172.10.0.2:55466,,,30,72437
1623249430.305906,172.10.0.2:55466,,,30,72437
1623249430.323047,172.10.0.2:55466,,,30,72437
1623249430.340927,172.10.0.2:55466,,,35,86917
1623249430.357107,172.10.0.2:55466,,,35,86917
1623249430.374324,172.10.0.2:55466,,,35,86917
1623249430.389867,172.10.0.2:55466,,,40,101397
1623249430.407237,172.10.0.2:55466,,,40,101397
1623249430.422802,172.10.0.2:55466,,,40,101397
1623249430.441104,172.10.0.2:55466,,,40,101397
1623249430.456906,172.10.0.2:55466,,,42,107189
1623249430.474437,172.10.0.2:55466,,,44,110085
1623249430.490018,172.10.0.2:55466,,,44,110085
1623249430.508964,172.10.0.2:55466,,,46,112981
1623249430.524587,172.10.0.2:55466,,,48,115877
1623249430.542495,172.10.0.2:55466,,,48,115877
1623249430.557945,172.10.0.2:55466,,,50,118773
1623249430.574869,172.10.0.2:55466,,,52,121669
1623249430.590539,172.10.0.2:55466,,,54,124565
1623249430.608199,172.10.0.2:55466,,,54,124565
1623249430.623923,172.10.0.2:55466,,,56,127461
1623249430.641749,172.10.0.2:55466,,,58,130357
1623249430.657846,172.10.0.2:55466,,,58,130357
1623249430.675789,172.10.0.2:55466,,,58,58
1623249430.692049,172.10.0.2:55466,,,58,58
1623249430.708649,172.10.0.2:55466,,,58,58
1623249430.724980,172.10.0.2:55466,,,58,58
1623249430.741675,172.10.0.2:55466,,,58,58
1623249430.758373,172.10.0.2:55466,,,58,58
1623249430.774844,172.10.0.2:55466,,,58,58
1623249430.792160,172.10.0.2:55466,,,58,58
1623249430.808002,172.10.0.2:55466,,,58,58
1623249430.825416,172.10.0.2:55466,,,58,58
1623249430.841111,172.10.0.2:55466,,,58,58
1623249430.858726,172.10.0.2:55466,,,58,58
1623249430.874263,172.10.0.2:55466,,,58,58
1623249430.891972,172.10.0.2:55466,,,58,58
1623249430.907802,172.10.0.2:55466,,,58,58
1623249430.924577,172.10.0.2:55466,,,58,58
1623249430.940217,172.10.0.2:55466,,,58,58
1623249430.956791,172.10.0.2:55466,,,58,58
1623249430.972338,172.10.0.2:55466,,,58,58
1623249430.989163,172.10.0.2:55466,,,58,58
1623249431.004803,172.10.0.2:55466,,,58,58
1623249431.022487,172.10.0.2:55466,,,58,58
1623249431.038105,172.10.0.2:55466,,,58,58
1623249431.056043,172.10.0.2:55466,,,58,58
1623249431.071812,172.10.0.2:55466,,,58,58
1623249431.089748,172.10.0.2:55466,,,58,58
1623249431.105585,172.10.0.2:55466,,,58,58
1623249431.123453,172.10.0.2:55466,,,58,58
1623249431.140031,172.10.0.2:55466,,,58,58
1623249431.156905,172.10.0.2:55466,,,58,58
1623249431.175605,172.10.0.2:55466,,,58,58
1623249431.191373,172.10.0.2:55466,,,58,58
1623249431.210070,172.10.0.2:55466,,,58,58
1623249431.225519,172.10.0.2:55466,,,58,58
1623249431.242853,172.10.0.2:55466,,,58,58
1623249431.258296,172.10.0.2:55466,,,58,58
1623249431.275857,172.10.0.2:55466,,,58,58
1623249431.291510,172.10.0.2:55466,,,58,58
1623249431.308715,172.10.0.2:55466,,,58,58
1623249431.324264,172.10.0.2:55466,,,58,58
1623249431.341420,172.10.0.2:55466,,,58,58
1623249431.356867,172.10.0.2:55466,,,59,58
1623249431.374251,172.10.0.2:55466,,,59,58
1623249431.389891,172.10.0.2:55466,,,59,58
1623249431.407201,172.10.0.2:55466,,,59,58
1623249431.422907,172.10.0.2:55466,,,59,58
1623249431.440433,172.10.0.2:55466,,,59,58
1623249431.456086,172.10.0.2:55466,,,59,58
1623249431.473723,172.10.0.2:55466,,,59,58
1623249431.489517,172.10.0.2:55466,,,59,58
1623249431.507314,172.10.0.2:55466,,,59,58
1623249431.523112,172.10.0.2:55466,,,59,58
1623249431.540730,172.10.0.2:55466,,,59,58
1623249431.557898,172.10.0.2:55466,,,59,58
1623249431.575386,172.10.0.2:55466,,,59,58
1623249431.594156,172.10.0.2:55466,,,60,58
1623249431.609849,172.10.0.2:55466,,,60,58
1623249431.627294,172.10.0.2:55466,,,60,58
1623249431.643785,172.10.0.2:55466,,,60,58
