Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1623249167.173092,172.10.0.2:55450,,,5,3
1623249167.190129,172.10.0.2:55450,,,5,3
1623249167.205813,172.10.0.2:55450,,,5,3
1623249167.223175,172.10.0.2:55450,,,5,3
1623249167.238697,172.10.0.2:55450,,,5,3
1623249167.256132,172.10.0.2:55450,,,5,3
1623249167.271879,172.10.0.2:55450,,,5,3
1623249167.289672,172.10.0.2:55450,,,6,3
1623249167.305397,172.10.0.2:55450,,,6,3
1623249167.322055,172.10.0.2:55450,,,6,3
1623249167.337689,172.10.0.2:55450,,,6,3
1623249167.354530,172.10.0.2:55450,,,6,3
1623249167.370197,172.10.0.2:55450,,,6,3
1623249167.387177,172.10.0.2:55450,,,6,3
1623249167.403293,172.10.0.2:55450,,,6,3
1623249167.420269,172.10.0.2:55450,,,5,3
1623249167.435971,172.10.0.2:55450,,,5,3
1623249167.453872,172.10.0.2:55450,,,5,3
1623249167.470252,172.10.0.2:55450,,,5,3
1623249167.488023,172.10.0.2:55450,,,5,3
1623249167.505186,172.10.0.2:55450,,,4,3
1623249167.521533,172.10.0.2:55450,,,4,3
1623249167.538980,172.10.0.2:55450,,,4,3
1623249167.554495,172.10.0.2:55450,,,5,3
1623249167.571628,172.10.0.2:55450,,,5,3
1623249167.587453,172.10.0.2:55450,,,5,3
1623249167.604748,172.10.0.2:55450,,,5,3
1623249167.620513,172.10.0.2:55450,,,5,3
1623249167.638784,172.10.0.2:55450,,,5,3
1623249167.654516,172.10.0.2:55450,,,5,3
1623249167.672482,172.10.0.2:55450,,,6,3
1623249167.688199,172.10.0.2:55450,,,6,3
1623249167.704845,172.10.0.2:55450,,,6,3
1623249167.720647,172.10.0.2:55450,,,6,3
1623249167.737886,172.10.0.2:55450,,,6,3
1623249167.753678,172.10.0.2:55450,,,6,3
1623249167.770557,172.10.0.2:55450,,,6,3
1623249167.786112,172.10.0.2:55450,,,6,3
1623249167.804131,172.10.0.2:55450,,,6,3
1623249167.820000,172.10.0.2:55450,,,6,3
1623249167.837874,172.10.0.2:55450,,,6,3
1623249167.856917,172.10.0.2:55450,,,6,3
1623249167.872521,172.10.0.2:55450,,,5,3
1623249167.889594,172.10.0.2:55450,,,5,3
1623249167.905358,172.10.0.2:55450,,,5,3
1623249167.922702,172.10.0.2:55450,,,5,3
1623249167.938166,172.10.0.2:55450,,,5,3
1623249167.955337,172.10.0.2:55450,,,4,3
1623249167.971116,172.10.0.2:55450,,,4,3
1623249167.989116,172.10.0.2:55450,,,4,3
1623249168.005043,172.10.0.2:55450,,,5,3
1623249168.022216,172.10.0.2:55450,,,5,3
1623249168.038000,172.10.0.2:55450,,,5,3
1623249168.054841,172.10.0.2:55450,,,5,3
1623249168.070562,172.10.0.2:55450,,,5,3
1623249168.087331,172.10.0.2:55450,,,5,3
1623249168.103037,172.10.0.2:55450,,,6,3
1623249168.120720,172.10.0.2:55450,,,6,3
1623249168.136651,172.10.0.2:55450,,,6,3
1623249168.154375,172.10.0.2:55450,,,6,3
1623249168.171809,172.10.0.2:55450,,,6,3
1623249168.188405,172.10.0.2:55450,,,6,3
1623249168.206033,172.10.0.2:55450,,,6,3
1623249168.221812,172.10.0.2:55450,,,5,3
1623249168.239321,172.10.0.2:55450,,,5,3
1623249168.255051,172.10.0.2:55450,,,5,3
1623249168.273599,172.10.0.2:55450,,,5,3
1623249168.289200,172.10.0.2:55450,,,5,3
1623249168.306727,172.10.0.2:55450,,,4,3
1623249168.322464,172.10.0.2:55450,,,4,3
1623249168.339676,172.10.0.2:55450,,,4,3
1623249168.355392,172.10.0.2:55450,,,5,3
1623249168.373098,172.10.0.2:55450,,,5,3
1623249168.388881,172.10.0.2:55450,,,5,3
1623249168.405837,172.10.0.2:55450,,,5,3
1623249168.421668,172.10.0.2:55450,,,5,3
1623249168.438401,172.10.0.2:55450,,,5,3
1623249168.454066,172.10.0.2:55450,,,5,3
1623249168.471004,172.10.0.2:55450,,,6,3
1623249168.487023,172.10.0.2:55450,,,6,3
1623249168.504290,172.10.0.2:55450,,,6,3
1623249168.521695,172.10.0.2:55450,,,6,3
1623249168.538014,172.10.0.2:55450,,,6,3
1623249168.555299,172.10.0.2:55450,,,6,3
1623249168.570975,172.10.0.2:55450,,,6,3
1623249168.587392,172.10.0.2:55450,,,5,3
1623249168.603798,172.10.0.2:55450,,,5,3
1623249168.621911,172.10.0.2:55450,,,5,3
1623249168.637547,172.10.0.2:55450,,,5,3
1623249168.655342,172.10.0.2:55450,,,5,3
1623249168.671015,172.10.0.2:55450,,,4,3
1623249168.688320,172.10.0.2:55450,,,4,3
1623249168.703900,172.10.0.2:55450,,,4,3
1623249168.722395,172.10.0.2:55450,,,5,3
1623249168.738523,172.10.0.2:55450,,,5,3
1623249168.756027,172.10.0.2:55450,,,5,3
1623249168.773498,172.10.0.2:55450,,,5,3
1623249168.789670,172.10.0.2:55450,,,5,3
1623249168.807446,172.10.0.2:55450,,,5,3
1623249168.823148,172.10.0.2:55450,,,5,3
1623249168.840187,172.10.0.2:55450,,,5,3
1623249168.855952,172.10.0.2:55450,,,5,3
1623249168.872814,172.10.0.2:55450,,,6,3
1623249168.888794,172.10.0.2:55450,,,6,3
1623249168.905537,172.10.0.2:55450,,,6,3
1623249168.921325,172.10.0.2:55450,,,6,3
1623249168.938733,172.10.0.2:55450,,,6,3
1623249168.954415,172.10.0.2:55450,,,6,3
1623249168.972265,172.10.0.2:55450,,,6,3
1623249168.987982,172.10.0.2:55450,,,6,3
1623249169.005428,172.10.0.2:55450,,,6,3
1623249169.021400,172.10.0.2:55450,,,5,3
1623249169.038264,172.10.0.2:55450,,,5,3
1623249169.053930,172.10.0.2:55450,,,5,3
1623249169.071168,172.10.0.2:55450,,,5,3
1623249169.086833,172.10.0.2:55450,,,5,3
1623249169.103454,172.10.0.2:55450,,,4,3
1623249169.119141,172.10.0.2:55450,,,4,3
1623249169.136935,172.10.0.2:55450,,,4,3
1623249169.161992,172.10.0.2:55450,,,5,3
1623249169.178009,172.10.0.2:55450,,,5,3
1623249169.195584,172.10.0.2:55450,,,5,3
1623249169.211272,172.10.0.2:55450,,,5,3
1623249169.228254,172.10.0.2:55450,,,5,3
