Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1623160272.918377,172.10.0.2:55682,3,3,129,69
1623160272.934893,172.10.0.2:55682,4,4,126,69
1623160272.950694,172.10.0.2:55682,5,5,123,69
1623160272.967228,172.10.0.2:55682,5,5,123,69
1623160272.982890,172.10.0.2:55682,6,6,120,69
1623160272.998709,172.10.0.2:55682,7,7,117,69
1623160273.014352,172.10.0.2:55682,7,7,117,69
1623160273.030358,172.10.0.2:55682,8,8,114,69
1623160273.046097,172.10.0.2:55682,9,9,111,69
1623160273.063285,172.10.0.2:55682,9,9,111,69
1623160273.079026,172.10.0.2:55682,10,10,108,69
1623160273.094690,172.10.0.2:55682,11,11,105,69
1623160273.110472,172.10.0.2:55682,11,11,105,69
1623160273.126581,172.10.0.2:55682,12,12,102,69
1623160273.142167,172.10.0.2:55682,13,13,99,69
1623160273.158628,172.10.0.2:55682,13,13,99,69
1623160273.174267,172.10.0.2:55682,14,14,96,69
1623160273.190796,172.10.0.2:55682,15,15,93,69
1623160273.206449,172.10.0.2:55682,15,15,93,69
1623160273.222761,172.10.0.2:55682,16,16,90,69
1623160273.238379,172.10.0.2:55682,17,17,87,69
1623160273.254651,172.10.0.2:55682,17,17,87,69
1623160273.270280,172.10.0.2:55682,18,18,84,69
1623160273.286397,172.10.0.2:55682,19,19,81,69
1623160273.302315,172.10.0.2:55682,19,19,81,69
1623160273.318489,172.10.0.2:55682,20,20,78,69
1623160273.334145,172.10.0.2:55682,21,21,78,69
1623160273.350399,172.10.0.2:55682,22,22,77,69
1623160273.366429,172.10.0.2:55682,22,22,77,69
1623160273.382064,172.10.0.2:55682,23,23,74,69
1623160273.398066,172.10.0.2:55682,24,24,71,69
1623160273.413869,172.10.0.2:55682,24,24,71,69
1623160273.429782,172.10.0.2:55682,26,26,69,69
1623160273.445470,172.10.0.2:55682,28,28,67,69
1623160273.461280,172.10.0.2:55682,28,28,67,69
1623160273.476850,172.10.0.2:55682,30,30,65,69
1623160273.492611,172.10.0.2:55682,32,32,63,69
1623160273.508666,172.10.0.2:55682,32,32,63,69
1623160273.524208,172.10.0.2:55682,34,34,61,69
1623160273.540371,172.10.0.2:55682,36,36,59,69
1623160273.555997,172.10.0.2:55682,36,36,59,69
1623160273.571846,172.10.0.2:55682,38,38,57,69
1623160273.587447,172.10.0.2:55682,40,40,55,69
1623160273.603388,172.10.0.2:55682,40,40,55,69
1623160273.618992,172.10.0.2:55682,42,42,52,69
1623160273.634979,172.10.0.2:55682,42,42,52,69
1623160273.650773,172.10.0.2:55682,44,44,50,69
1623160273.666677,172.10.0.2:55682,46,46,48,69
1623160273.682613,172.10.0.2:55682,46,46,48,69
1623160273.698351,172.10.0.2:55682,67,69,69,69
1623160273.715051,172.10.0.2:55682,66,69,69,69
1623160273.731014,172.10.0.2:55682,65,69,69,69
1623160273.747019,172.10.0.2:55682,63,69,69,69
1623160273.762740,172.10.0.2:55682,62,69,69,69
1623160273.778884,172.10.0.2:55682,61,69,69,69
1623160273.794649,172.10.0.2:55682,59,69,69,69
1623160273.810768,172.10.0.2:55682,58,69,69,69
1623160273.826647,172.10.0.2:55682,57,69,69,69
1623160273.842853,172.10.0.2:55682,55,69,69,69
1623160273.858508,172.10.0.2:55682,54,69,69,69
1623160273.874205,172.10.0.2:55682,53,69,69,69
1623160273.889909,172.10.0.2:55682,51,69,69,69
1623160273.905633,172.10.0.2:55682,50,69,69,69
1623160273.921396,172.10.0.2:55682,49,69,69,69
1623160273.937177,172.10.0.2:55682,48,69,69,69
1623160273.952949,172.10.0.2:55682,46,69,69,69
1623160273.968450,172.10.0.2:55682,45,69,69,69
1623160273.983993,172.10.0.2:55682,43,69,69,69
1623160274.000554,172.10.0.2:55682,41,69,69,69
1623160274.016101,172.10.0.2:55682,41,69,69,69
1623160274.032353,172.10.0.2:55682,39,69,69,69
1623160274.047816,172.10.0.2:55682,37,69,69,69
1623160274.064284,172.10.0.2:55682,37,69,69,69
1623160274.079770,172.10.0.2:55682,35,69,69,69
1623160274.095478,172.10.0.2:55682,35,69,69,69
1623160274.111059,172.10.0.2:55682,33,69,69,69
1623160274.126640,172.10.0.2:55682,31,69,69,69
1623160274.142410,172.10.0.2:55682,31,69,69,69
1623160274.158023,172.10.0.2:55682,29,69,69,69
1623160274.173881,172.10.0.2:55682,27,69,69,69
1623160274.189506,172.10.0.2:55682,27,69,69,69
1623160274.205236,172.10.0.2:55682,25,69,69,69
1623160274.221014,172.10.0.2:55682,23,69,69,69
1623160274.236580,172.10.0.2:55682,23,69,69,69
1623160274.252032,172.10.0.2:55682,21,69,69,69
1623160274.267577,172.10.0.2:55682,19,69,69,69
1623160274.283324,172.10.0.2:55682,19,69,69,69
1623160274.299444,172.10.0.2:55682,17,69,69,69
1623160274.315187,172.10.0.2:55682,15,69,69,69
1623160274.331263,172.10.0.2:55682,15,69,69,69
1623160274.346783,172.10.0.2:55682,13,69,69,69
1623160274.362827,172.10.0.2:55682,11,69,69,69
1623160274.378607,172.10.0.2:55682,11,69,69,69
1623160274.394623,172.10.0.2:55682,9,69,69,69
1623160274.410282,172.10.0.2:55682,9,69,69,69
1623160274.426300,172.10.0.2:55682,7,69,69,69
1623160274.442039,172.10.0.2:55682,6,69,69,69
1623160274.457726,172.10.0.2:55682,4,69,69,69
1623160274.473298,172.10.0.2:55682,2,69,69,69
1623160274.489120,172.10.0.2:55682,2,69,69,69
1623160274.504807,172.10.0.2:55682,0,69,69,69
1623160274.520570,172.10.0.2:55682,0,69,69,69
1623160274.536331,172.10.0.2:55682,0,69,69,69
1623160274.552106,172.10.0.2:55682,0,69,69,69
1623160274.567758,172.10.0.2:55682,0,69,69,69
1623160274.583395,172.10.0.2:55682,0,69,69,69
1623160274.599050,172.10.0.2:55682,0,69,69,69
1623160274.614787,172.10.0.2:55682,0,69,69,69
1623160274.630610,172.10.0.2:55682,0,69,69,69
1623160274.646233,172.10.0.2:55682,0,69,69,69
1623160274.661951,172.10.0.2:55682,0,69,69,69
1623160274.677562,172.10.0.2:55682,0,69,69,69
1623160274.693446,172.10.0.2:55682,0,69,69,69
1623160274.708989,172.10.0.2:55682,0,69,69,69
1623160274.724388,172.10.0.2:55682,0,69,69,69
1623160274.739877,172.10.0.2:55682,0,69,69,69
1623160274.756228,172.10.0.2:55682,0,69,69,69
1623160274.771781,172.10.0.2:55682,0,69,69,69
1623160274.788110,172.10.0.2:55682,0,69,69,69
1623160274.803676,172.10.0.2:55682,0,69,69,69
1623160274.819976,172.10.0.2:55682,0,69,69,69
1623160274.835585,172.10.0.2:55682,0,69,69,69
1623160274.851843,172.10.0.2:55682,0,69,69,69
1623160274.867378,172.10.0.2:55682,0,69,69,69
1623160274.883749,172.10.0.2:55682,0,69,69,69
1623160274.899392,172.10.0.2:55682,0,69,69,69
1623160274.915787,172.10.0.2:55682,0,69,69,69
1623160274.931303,172.10.0.2:55682,0,69,69,69
1623160274.947691,172.10.0.2:55682,0,69,69,69
1623160274.963187,172.10.0.2:55682,0,69,69,69
1623160274.979721,172.10.0.2:55682,0,69,69,69
1623160274.995266,172.10.0.2:55682,0,69,69,69
1623160275.011664,172.10.0.2:55682,0,69,69,69
